meas	Expert	rep	CA1	CA2	CA3	CA4	CU1	CU2	CB	CN	CC	CE	b	c	k	meas_names
1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	AG-AC
2	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	AG-BC
3	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	ACALOS
4	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	GÖSA
5	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	language
6	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	age
7	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	gender
8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	tinnitus
9	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	hp-q
10	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	hp-n
11	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	WST
12	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	SWI
13	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	demtect
1	1	2	1	1	1	1	1	1	0	1	0	0	0	0	0	AG-AC
2	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	AG-BC
3	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	ACALOS
4	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	GÖSA
5	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	language
6	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	age
7	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	gender
8	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	tinnitus
9	1	2	0	0	0	0	1	1	0	1	0	0	0	1	0	hp-q
10	1	2	0	0	0	0	1	1	0	1	0	0	0	1	0	hp-n
11	1	2	0	0	0	1	1	0	0	1	1	0	0	0	0	WST
12	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	SWI
13	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	demtect
