Expert	package	conf_cafpas	conf_findings
1	1	NA	NA
1	2	NA	NA
1	3	40.9259259259259	36.8518518518518
1	4	47.4444444444444	48.462962962963
1	5	42.3518518518518	43.9814814814815
1	6	41.9444444444444	41.537037037037
1	7	38.8888888888889	39.0925925925926
1	8	36.8518518518518	37.2592592592592
1	9	30.9444444444444	30.537037037037
1	10	37.2592592592592	38.0740740740741
1	11	36.6481481481481	35.8333333333333
1	12	39.7037037037037	39.7037037037037
1	13	35.4259259259259	35.4259259259259
2	1	NA	NA
2	2	87.1666666666667	100
2	3	91.037037037037	100
2	4	NA	NA
2	5	82.4814814814815	100
2	6	96.3333333333333	97.9629629629629
2	7	97.3518518518518	97.9629629629629
2	8	97.9629629629629	98.1666666666667
2	9	95.3148148148148	95.3148148148148
2	10	98.7777777777778	98.7777777777778
2	11	97.7592592592593	97.7592592592593
2	12	99.1851851851852	97.3518518518518
